ID,equipment,model,sub_model,manufacturer,losses_total,,abandoned,abandoned and burned,abandoned and destroyed,captured,captured and destroyed,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,damaged by Forpost-R,damaged by Orion and captured,destroyed,destroyed by Forpost-R,destroyed by Orion,destroyed by loitering munition,scuttled to prevent capture by Russia,sunk,sunk but raised by Russia
1,Tanks,T-64A,,the Soviet Union,1,,,,,1.0,,,,,,,,,,,,,,
2,Tanks,T-64B,,the Soviet Union,1,,,,,,,,,,,,,1.0,,,,,,
3,Tanks,T-64BV,,the Soviet Union,106,,2.0,,,37.0,8.0,3.0,,4.0,,,,52.0,,,,,,
4,Tanks,T-64BV Zr. 2017,,Ukraine,46,,3.0,,,27.0,,,1.0,,,,,15.0,,,,,,
5,Tanks,T-64B1M,,Ukraine,4,,,,,4.0,,,,,,,,,,,,,,
6,Tanks,T-64BM 'Bulat',,Ukraine,8,,,,,3.0,,,,,,,,5.0,,,,,,
7,Tanks,T-64BM2 'Bulat',,Ukraine,1,,,,,,,,,,,,,1.0,,,,,,
8,Tanks,T-72 'Ural',,the Soviet Union,2,,,,,1.0,,1.0,,,,,,,,,,,,
9,Tanks,T-72M1,,Poland,3,,,,,2.0,,,,,,,,1.0,,,,,,
10,Tanks,T-72A/M1,,the Soviet Union,1,,,,,1.0,,,,,,,,,,,,,,
11,Tanks,T-72AV,,the Soviet Union,4,,,,,1.0,,,,,,,,3.0,,,,,,
12,Tanks,T-72B,,the Soviet Union,13,,,,,6.0,,1.0,,,,,,6.0,,,,,,
13,Tanks,T-72AMT,,Ukraine,10,,,,,3.0,,,,1.0,,,,6.0,,,,,,
14,Tanks,T-80BV,,the Soviet Union,15,,1.0,,,4.0,,,,4.0,,,1.0,5.0,,,,,,
15,Tanks,Unknown tank,,Ukraine,18,,,,,,,,,,,,,17.0,,,1.0,,,
16,Armoured Fighting Vehicles,BRM-1K reconnaissance vehicle,,the Soviet Union,12,,,,,8.0,,,,1.0,,,,3.0,,,,,,
17,Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,66,,,,,36.0,,,,,,,,30.0,,,,,,
18,Armoured Fighting Vehicles,Vepr,,Ukraine,1,,,,,1.0,,,,,,,,,,,,,,
19,Armoured Fighting Vehicles,MT-LB,,the Soviet Union,16,,1.0,,,4.0,,,,,,,,11.0,,,,,,
20,Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,7,,,,,2.0,,,,,,,,5.0,,,,,,
